"shapeid","x","y"
"61.0","290103.0","91733.0"
"62.0","290142.0","91555.0"
"62.0","290133.4104761405","91582.04109363182"
"63.0","290386.80701733346","91431.83177992364"
"63.0","290267.0","91405.0"
"63.0","290237.39869799797","91392.50167248803"
"64.0","290237.39869799797","91392.50167248803"
"64.0","290177.0","91367.0"
"65.0","290622.058","91554.747"
"65.0","290524.0","91483.0"
"65.0","290459.0","91448.0"
"65.0","290386.80701733346","91431.83177992364"
"66.0","291952.7087946331","90363.11087788497"
"66.0","291929.0","90358.0"
"66.0","291812.0","90307.0"
"66.0","291800.22594","90297.66109"
"66.0","291792.8486","90289.02932"
"67.0","292096.0","90394.0"
"67.0","291952.7087946331","90363.11087788497"
"68.0","291830.232078581","90030.18406232286"
"68.0","291859.0","90053.0"
"68.0","291907.6637143563","90106.97248319522"
"69.0","291907.6637143563","90106.97248319522"
"69.0","291914.0","90114.0"
"69.0","291942.56","90129.52"
"69.0","292077.0","90211.0"
"69.0","292092.367","90226.226"
"70.0","292535.975","90517.531"
"70.0","292552.57703","90535.24738"
"70.0","292606.36866","90582.239"
"70.0","292607.34119","90583.08858"
"70.0","292615.56257","90590.27067"
"70.0","292624.17","90597.79000000001"
"70.0","292627.54127","90602.24091"
"70.0","292669.004","90656.982"
"70.0","292725.006","90705.975"
"70.0","292728.74194","90705.58431"
"70.0","292730.50023","90705.40043"
"70.0","292732.99288","90705.13975"
"70.0","292740.583","90704.346"
"70.0","292742.4428","90704.99846"
"70.0","292747.13529","90706.64471"
"70.0","292748.12802","90706.99298"
"70.0","292760.61774","90711.37468"
"70.0","292766.596","90713.472"
"71.0","291787.42958958045","91128.97719339823"
"71.0","291786.0","91161.0"
"71.0","291775.0","91179.0"
"71.0","291741.08408694057","91178.61892232517"
